word,count
Mutation,37593
RootMutation,1649
RootMutationType,1597
mutation,595
Mutations,260
mutation_root,220
PlatformService,110
MutationRoot,88
DomainContentMutation,65
MutationV1,45
PublicMutation,19
MutationType,16
AppMutation,11
ROOTMUTATION,9
RootSchemaMutation,9
frontendMutation,9
ConvergeMutation,8
snappetRootMutation,8
MutationEntry,8
HeadquartersMutation,8
mutations,6
IasMutation,6
LitiumMutation,5
GraphQLMutation,5
UsersMutationType,5
ApplicationMutations,5
RootMutations,5
PublicMutations,5
CommonMutation,4
WcsMutation,4
AllMutations,4
EatnParkMutation,4
BiosuisseMutation,4
AdminMutation,4
rootMutation,4
LegalxMutation,3
RootMutationLimited,3
MutationsRoot,3
TypesMutationType,3
EbbMutation,3
ApiMutations,3
FliptSchemaMutationRoot,3
GiJoeMutation,3
workItemMutation,3
ShippioApiMutations,3
LexorMutation,3
CoreAPI,2
All,2
MutationStraw,2
MutationTypes,2
DnxAndIntegrationMutations,2
XeonERPMutation,2
MorffMutation,2
AirvolutionMutation,2
RootMutationsType,2
DagitMutation,2
GMSRootMutation,2
root_mutation_type_v1,2
GeneralMutation,2
platformMutation,2
FrontMutation,2
GraphQlMutations,2
APIMutations,2
ServiceMutation,2
MutationGraphType,2
UserMutations,2
OwnMutation,2
RootMutationClass,2
BLBMutation,2
UnFootprintMutation,2
MutationQuery,2
Vaulteron_root_mutation,2
BaseMutation,2
SkyscraperMutations,2
StudioMutation,2
Root,1
AuthMutations,1
UserMutation,1
VouchersMutations,1
DataMutation,1
RBSMutation,1
DefaultGraphQLMutation,1
ConfigMutations,1
EconomyMutations,1
BackstageMutations,1
CompanyMutation,1
KeyValueStoreMutations,1
DocumentStoreMutations,1
billkillMutation,1
EmailMutation,1
DocumentsMutations,1
H4LMutations,1
ProjectisMutation,1
OrganizationMutations,1
MutationQueryType,1
PartitionMaintenanceMutations,1
SessionManagementMutations,1
KiwolMutations,1
CardManagerMutations,1
HeadquartersMutations,1
OAuthMutation,1
SiamServerMutation,1
UserProfileMutations,1
EvidenceMutations,1
KitchenErpMutation,1
CoreMutations,1
EgwCpanelMutations,1
ScriptingMutations,1
KaseyaDemMutation,1
SkynetMutation,1
CommonTypesMutations,1
GraphqlMutation,1
TcWebMutation,1
PsiwareMutation,1
DocumentServerMutations,1
LetsEventsAPIMutations,1
DeviceManagerMutations,1
AXEMutations,1
AppMutations,1
MainMutation,1
GuestMutation,1
IdentityServerStoreMutations,1
BookmarkMutation,1
APIRootMutation,1
HoteltogoMutation,1
SupplierPortalMutations,1
OrganiMarkMutations,1
GoFundraiseMutation,1
TopLevelMutation,1
SyncServiceMutation,1
MasterMutation,1
HelvengoMutation,1
CoreMutation,1
JournalMutations,1
DigitalSandwichMutations,1
EventStoreMutations,1
ApiMutation,1
ConsentMutation,1
GraphDocMutation,1
MutationBase,1
ApplicationMutation,1
CertMetricsMutation,1
