word,count
Subscription,11541
RootSubscriptionType,1068
subscription_root,727
RootSubscription,76
Subscriptions,15
SubscriptionRoot,14
subscription,6
SubscriptionType,6
subscriptions,4
Root,4
AppSubscription,3
SubscriptionsRoot,3
TypesSubscriptionType,3
AllSubscriptions,3
GraphqlSubscription,3
DefaultAppSubscriptions,2
DagitSubscription,2
GraphSubscription,2
SchoolSubscription,2
TwinPlantSubscriptions,2
AppNotification,1
WebsocketSubscription,1
GenericGraphQLSubscription,1
CRMSubscription,1
SessionManagementSubscriptions,1
WebSocketSubscription,1
GQLSubscription,1
AdminSubscription,1
RootSubscriptions,1
ConversationSubscription,1
GraphDocSubscription,1
ApplicationStateSubscription,1
