word,count
Query,45398
Mutation,37578
Subscription,11538
RootQueryType,1757
RootQuery,1753
RootMutation,1649
RootMutationType,1598
RootSubscriptionType,1068
query_root,743
subscription_root,727
query,606
mutation,595
Mutations,260
mutation_root,220
QueryRoot,122
PlatformQuery,110
PlatformService,110
Queries,99
MutationRoot,88
RootSubscription,76
Domain,70
DomainContentMutation,65
QueryV1,45
MutationV1,45
QueryType,26
Root,24
PublicQuery,22
RootSchemaQuery,21
PublicMutation,19
MutationType,16
QueryContainer,16
Subscriptions,15
SubscriptionRoot,14
Object,12
AppQuery,11
AppMutation,11
ROOTQUERY,9
ROOTMUTATION,9
RootSchemaMutation,9
frontendQuery,9
frontendMutation,9
HeadquartersQuery,9
ConvergeMutation,8
SnappetRootQuery,8
snappetRootMutation,8
QueryEntry,8
MutationEntry,8
HeadquartersMutation,8
AllQueries,7
subscription,6
mutations,6
IasQuery,6
IasMutation,6
GraphQLQuery,6
SubscriptionType,6
GridQuery,6
LitiumQuery,5
LitiumMutation,5
GraphQLMutation,5
ApplicationQueries,5
ApplicationMutations,5
RootMutations,5
PublicMutations,5
subscriptions,4
queries,4
graph,4
rootQuery,4
CommonQuery,4
CommonMutation,4
QueriesF,4
WcsQuery,4
WcsMutation,4
AllMutations,4
UsersQueryType,4
UsersMutationType,4
MiaQuery,4
FindSpaceQuery,4
EatnParkQuery,4
EatnParkMutation,4
BiosuisseQuery,4
BiosuisseMutation,4
AdminQuery,4
AdminMutation,4
rootMutation,4
ProductSearch,3
NewAccounts,3
LegalxQuery,3
LegalxMutation,3
RadarQuery,3
AppSubscription,3
RootQueryLimited,3
RootMutationLimited,3
SubscriptionsRoot,3
RootQueries,3
MutationsRoot,3
TypesQueryType,3
TypesMutationType,3
TypesSubscriptionType,3
AllSubscriptions,3
EbbQuery,3
EbbMutation,3
ApiMutations,3
FliptSchemaQueryRoot,3
FliptSchemaMutationRoot,3
PublicQueries,3
GIJoeQuery,3
GiJoeMutation,3
BrugerstyringQuery,3
workitemQueries,3
workItemMutation,3
ShippioApiQueries,3
ShippioApiMutations,3
LexorQuery,3
LexorMutation,3
GraphqlSubscription,3
API,2
CoreAPI,2
All,2
Commerce,2
QueryStraw,2
MutationStraw,2
DataQuery,2
QueryTypes,2
MutationTypes,2
DnxAndIntegration,2
DnxAndIntegrationMutations,2
DefaultAppSubscriptions,2
Global,2
XeonERPQuery,2
XeonERPMutation,2
MorffQuery,2
MorffMutation,2
AirvolutionQuery,2
AirvolutionMutation,2
BlogAppSchema,2
RootMutationsType,2
CustomExport,2
DagitQuery,2
DagitMutation,2
DagitSubscription,2
TickerQuery,2
GraphSubscription,2
GMSRootQuery,2
GMSRootMutation,2
AptusQuery,2
MehubQuery,2
DefaultQuery,2
root_query_type_v1,2
root_mutation_type_v1,2
GeneralQuery,2
GeneralMutation,2
platformQuery,2
platformMutation,2
FrontQuery,2
FrontMutation,2
GraphQlQueries,2
GraphQlMutations,2
APIMutations,2
ServiceQuery,2
ServiceMutation,2
RootQueryGraphType,2
MutationGraphType,2
SchoolSubscription,2
UserQueries,2
UserMutations,2
OwnMutation,2
AccessQuery,2
RootQueryClass,2
RootMutationClass,2
BLBQuery,2
BLBMutation,2
UnFootprintQuery,2
UnFootprintMutation,2
MutationQuery,2
AptusorderingQuery,2
MetricQuery,2
Vaulteron_root_query,2
Vaulteron_root_mutation,2
ContingentQuery,2
TwinPlantSubscriptions,2
BaseQuery,2
BaseMutation,2
GraphQlQuery,2
Skyscraper,2
SkyscraperMutations,2
StudioQuery,2
StudioMutation,2
Me,1
AppNotification,1
AuthMutations,1
ApiQuery,1
UserQuery,1
UserMutation,1
VouchersQueries,1
VouchersMutations,1
WebsocketSubscription,1
DataMutation,1
RBSQuery,1
RBSMutation,1
HelloWorld,1
GenericGraphQLQuery,1
DefaultGraphQLMutation,1
GenericGraphQLSubscription,1
ExpensePolicyQuery,1
ConfigQueries,1
ConfigMutations,1
EconomyQueries,1
EconomyMutations,1
ExternalQuery,1
BackstageMutations,1
CompanyQuery,1
CompanyMutation,1
CRMSubscription,1
KeyValueStoreQueries,1
KeyValueStoreMutations,1
DocumentStoreQueries,1
DocumentStoreMutations,1
billkillQuery,1
billkillMutation,1
EmailQuery,1
EmailMutation,1
DocumentsQueries,1
DocumentsMutations,1
H4LQueries,1
H4LMutations,1
ProjectisQuery,1
ProjectisMutation,1
VariantQuery,1
AuthQuery,1
StanlabQuery,1
OrganizationQueries,1
OrganizationMutations,1
MutationQueryType,1
